vce	I(Ib)
Step Information: Ib=1µ  (Run: 1/6)
8.100000000000005e-001	1.000000e-006
8.200000000000005e-001	1.000000e-006
8.300000000000005e-001	1.000000e-006
8.400000000000005e-001	1.000000e-006
8.500000000000005e-001	1.000000e-006
8.600000000000005e-001	1.000000e-006
8.700000000000006e-001	1.000000e-006
8.800000000000006e-001	1.000000e-006
8.900000000000006e-001	1.000000e-006
9.000000000000006e-001	1.000000e-006
9.100000000000006e-001	1.000000e-006
9.200000000000006e-001	1.000000e-006
9.300000000000006e-001	1.000000e-006
9.400000000000006e-001	1.000000e-006
9.500000000000006e-001	1.000000e-006
9.600000000000006e-001	1.000000e-006
9.700000000000006e-001	1.000000e-006
9.800000000000007e-001	1.000000e-006
9.900000000000007e-001	1.000000e-006
1.000000000000001e+000	1.000000e-006
1.010000000000001e+000	1.000000e-006
1.020000000000001e+000	1.000000e-006
1.030000000000001e+000	1.000000e-006
1.040000000000001e+000	1.000000e-006
1.050000000000001e+000	1.000000e-006
1.060000000000001e+000	1.000000e-006
1.070000000000001e+000	1.000000e-006
1.080000000000001e+000	1.000000e-006
1.090000000000001e+000	1.000000e-006
1.100000000000001e+000	1.000000e-006
1.110000000000001e+000	1.000000e-006
1.120000000000001e+000	1.000000e-006
1.130000000000001e+000	1.000000e-006
1.140000000000001e+000	1.000000e-006
1.150000000000001e+000	1.000000e-006
1.160000000000001e+000	1.000000e-006
1.170000000000001e+000	1.000000e-006
1.180000000000001e+000	1.000000e-006
1.190000000000001e+000	1.000000e-006
1.200000000000001e+000	1.000000e-006
1.210000000000001e+000	1.000000e-006
1.220000000000001e+000	1.000000e-006
1.230000000000001e+000	1.000000e-006
1.240000000000001e+000	1.000000e-006
1.250000000000001e+000	1.000000e-006
1.260000000000001e+000	1.000000e-006
1.270000000000001e+000	1.000000e-006
1.280000000000001e+000	1.000000e-006
1.290000000000001e+000	1.000000e-006
1.300000000000001e+000	1.000000e-006
1.310000000000001e+000	1.000000e-006
1.320000000000001e+000	1.000000e-006
1.330000000000001e+000	1.000000e-006
1.340000000000001e+000	1.000000e-006
1.350000000000001e+000	1.000000e-006
1.360000000000001e+000	1.000000e-006
1.370000000000001e+000	1.000000e-006
