time	V(vin)	V(vout)
4.475690625149530e-003	1.521471e-003	1.441721e-003
4.486851339435245e-003	8.166451e-004	7.593905e-004
4.498012053720958e-003	1.163450e-004	8.153579e-005
4.509172768006673e-003	-5.794294e-004	-5.918433e-004
4.520333482292386e-003	-1.270678e-003	-1.260747e-003
4.531494196578101e-003	-1.957401e-003	-1.925175e-003
4.542654910863814e-003	-2.639598e-003	-2.585127e-003
4.553815625149529e-003	-3.317269e-003	-3.240604e-003
4.583112500149528e-003	-4.987979e-003	-4.856127e-003
4.612409375149527e-003	-6.490150e-003	-6.307997e-003
4.641706250149527e-003	-7.773024e-003	-7.547186e-003
4.661237500149526e-003	-8.484687e-003	-8.234154e-003
4.680768750149526e-003	-9.068731e-003	-8.797504e-003
4.700300000149526e-003	-9.516373e-003	-9.228768e-003
4.719831250149525e-003	-9.820880e-003	-9.521467e-003
4.739362500149525e-003	-9.977672e-003	-9.671203e-003
4.758893750149524e-003	-9.984391e-003	-9.675725e-003
4.778425000149524e-003	-9.840935e-003	-9.534968e-003
4.797956250149523e-003	-9.549461e-003	-9.251045e-003
4.817487500149523e-003	-9.114356e-003	-8.828223e-003
4.837018750149523e-003	-8.542161e-003	-8.272852e-003
4.856550000149522e-003	-7.841486e-003	-7.593280e-003
4.885846875149522e-003	-6.573111e-003	-6.363854e-003
4.915143750149521e-003	-5.082638e-003	-4.919861e-003
4.944440625149520e-003	-3.420427e-003	-3.310059e-003
4.973737500149520e-003	-1.642643e-003	-1.588818e-003
4.984898214435234e-003	-9.388741e-004	-9.075520e-004
4.996058928720948e-003	-2.390329e-004	-2.301495e-004
5.007219643006662e-003	4.568802e-004	4.433896e-004
5.018380357292376e-003	1.148865e-003	1.113065e-003
5.029541071578090e-003	1.836922e-003	1.778878e-003
5.040701785863804e-003	2.521052e-003	2.440827e-003
5.051862500149518e-003	3.201253e-003	3.098913e-003
5.081159375149517e-003	4.881244e-003	4.723954e-003
5.110456250149517e-003	6.396302e-003	6.188950e-003
5.139753125149516e-003	7.695236e-003	7.444370e-003
5.159284375149516e-003	8.419101e-003	8.143585e-003
5.178815625149515e-003	9.016335e-003	8.720086e-003
5.198346875149515e-003	9.477955e-003	9.165194e-003
5.217878125149515e-003	9.797018e-003	9.472206e-003
5.237409375149514e-003	9.968725e-003	9.636502e-003
5.256940625149514e-003	9.990493e-003	9.655606e-003
5.276471875149513e-003	9.861995e-003	9.529231e-003
5.296003125149513e-003	9.585162e-003	9.259281e-003
5.315534375149512e-003	9.164160e-003	8.849818e-003
5.335065625149512e-003	8.605321e-003	8.307010e-003
5.354596875149512e-003	7.917049e-003	7.639028e-003
5.383893750149511e-003	6.665097e-003	6.424829e-003
5.413190625149510e-003	5.187938e-003	4.993080e-003
5.442487500149510e-003	3.535483e-003	3.392189e-003
5.471784375149509e-003	1.763568e-003	1.676275e-003
5.482945089435224e-003	1.060962e-003	9.960593e-004
5.494105803720937e-003	3.616848e-004	3.191614e-004
5.505266518006651e-003	-3.342623e-004	-3.544183e-004
5.516427232292365e-003	-1.026880e-003	-1.024680e-003
5.527587946578079e-003	-1.716167e-003	-1.691623e-003
5.538748660863793e-003	-2.402126e-003	-2.355248e-003
5.549909375149507e-003	-3.084754e-003	-3.015555e-003
5.579206250149507e-003	-4.773773e-003	-4.648877e-003
5.608503125149506e-003	-6.301491e-003	-6.125539e-003
5.637800000149506e-003	-7.616288e-003	-7.395675e-003
5.657331250149505e-003	-8.352248e-003	-8.106186e-003
5.676862500149505e-003	-8.962582e-003	-8.694998e-003
5.696393750149504e-003	-9.438111e-003	-9.153262e-003
5.715925000149504e-003	-9.771681e-003	-9.474093e-003
5.735456250149503e-003	-9.958277e-003	-9.652671e-003
5.754987500149503e-003	-9.995090e-003	-9.686313e-003
5.774518750149503e-003	-9.881568e-003	-9.574512e-003
5.794050000149502e-003	-9.619419e-003	-9.318949e-003
5.813581250149502e-003	-9.212584e-003	-8.923464e-003
5.833112500149501e-003	-8.667183e-003	-8.393997e-003
5.852643750149501e-003	-7.991420e-003	-7.738506e-003
5.881940625149500e-003	-6.756079e-003	-6.541002e-003
5.911237500149500e-003	-5.292457e-003	-5.122942e-003
5.940534375149499e-003	-3.650007e-003	-3.532212e-003
5.969831250149498e-003	-1.884227e-003	-1.822533e-003
5.980991964435213e-003	-1.182889e-003	-1.143598e-003
5.992152678720926e-003	-4.842823e-004	-4.673688e-004
6.003313393006641e-003	2.115940e-004	2.061561e-004
6.014474107292354e-003	9.047394e-004	8.769765e-004
6.025634821578069e-003	1.595154e-003	1.545092e-003
6.036795535863782e-003	2.282838e-003	2.210504e-003
6.047956250149497e-003	2.967791e-003	2.873210e-003
6.077253125149496e-003	4.665584e-003	4.515536e-003
6.106550000149496e-003	6.205732e-003	6.004869e-003
6.135846875149495e-003	7.536193e-003	7.290856e-003
6.155378125149495e-003	8.284137e-003	8.013407e-003
6.174909375149494e-003	8.907478e-003	8.615207e-003
6.194440625149494e-003	9.396845e-003	9.087194e-003
6.213971875149493e-003	9.744872e-003	9.422263e-003
6.233503125149493e-003	9.946329e-003	9.615369e-003
6.253034375149492e-003	9.998183e-003	9.663605e-003
