vce	V(vout)	I(Ib)	Ic(Q1)
Step Information: Ib=0  (Run: 1/6)
1.930000000000002e+000	1.930000e+000	0.000000e+000	2.204817e-012
1.940000000000002e+000	1.940000e+000	0.000000e+000	2.216919e-012
1.950000000000002e+000	1.950000e+000	0.000000e+000	2.229028e-012
1.960000000000002e+000	1.960000e+000	0.000000e+000	2.241144e-012
1.970000000000002e+000	1.970000e+000	0.000000e+000	2.253267e-012
1.980000000000002e+000	1.980000e+000	0.000000e+000	2.265398e-012
1.990000000000002e+000	1.990000e+000	0.000000e+000	2.277536e-012
2.000000000000001e+000	2.000000e+000	0.000000e+000	2.289682e-012
2.010000000000001e+000	2.010000e+000	0.000000e+000	2.301834e-012
2.020000000000001e+000	2.020000e+000	0.000000e+000	2.313994e-012
2.030000000000001e+000	2.030000e+000	0.000000e+000	2.326161e-012
2.040000000000001e+000	2.040000e+000	0.000000e+000	2.338335e-012
2.050000000000000e+000	2.050000e+000	0.000000e+000	2.350517e-012
2.060000000000000e+000	2.060000e+000	0.000000e+000	2.362705e-012
2.070000000000000e+000	2.070000e+000	0.000000e+000	2.374901e-012
2.080000000000000e+000	2.080000e+000	0.000000e+000	2.387104e-012
2.089999999999999e+000	2.090000e+000	0.000000e+000	2.399314e-012
2.099999999999999e+000	2.100000e+000	0.000000e+000	2.411531e-012
2.109999999999999e+000	2.110000e+000	0.000000e+000	2.423755e-012
2.119999999999999e+000	2.120000e+000	0.000000e+000	2.435986e-012
2.129999999999999e+000	2.130000e+000	0.000000e+000	2.448224e-012
2.139999999999998e+000	2.140000e+000	0.000000e+000	2.460470e-012
2.149999999999998e+000	2.150000e+000	0.000000e+000	2.472722e-012
2.159999999999998e+000	2.160000e+000	0.000000e+000	2.484982e-012
2.169999999999998e+000	2.170000e+000	0.000000e+000	2.497248e-012
2.179999999999998e+000	2.180000e+000	0.000000e+000	2.509521e-012
2.189999999999997e+000	2.190000e+000	0.000000e+000	2.521802e-012
2.199999999999997e+000	2.200000e+000	0.000000e+000	2.534089e-012
2.209999999999997e+000	2.210000e+000	0.000000e+000	2.546384e-012
2.219999999999997e+000	2.220000e+000	0.000000e+000	2.558685e-012
2.229999999999996e+000	2.230000e+000	0.000000e+000	2.570994e-012
2.239999999999996e+000	2.240000e+000	0.000000e+000	2.583309e-012
2.249999999999996e+000	2.250000e+000	0.000000e+000	2.595631e-012
2.259999999999996e+000	2.260000e+000	0.000000e+000	2.607961e-012
2.269999999999996e+000	2.270000e+000	0.000000e+000	2.620297e-012
2.279999999999995e+000	2.280000e+000	0.000000e+000	2.632640e-012
2.289999999999995e+000	2.290000e+000	0.000000e+000	2.644989e-012
2.299999999999995e+000	2.300000e+000	0.000000e+000	2.657346e-012
2.309999999999995e+000	2.310000e+000	0.000000e+000	2.669710e-012
2.319999999999995e+000	2.320000e+000	0.000000e+000	2.682080e-012
2.329999999999994e+000	2.330000e+000	0.000000e+000	2.694457e-012
2.339999999999994e+000	2.340000e+000	0.000000e+000	2.706841e-012
2.349999999999994e+000	2.350000e+000	0.000000e+000	2.719232e-012
2.359999999999994e+000	2.360000e+000	0.000000e+000	2.731630e-012
2.369999999999993e+000	2.370000e+000	0.000000e+000	2.744035e-012
2.379999999999993e+000	2.380000e+000	0.000000e+000	2.756446e-012
2.389999999999993e+000	2.390000e+000	0.000000e+000	2.768864e-012
2.399999999999993e+000	2.400000e+000	0.000000e+000	2.781289e-012
2.409999999999993e+000	2.410000e+000	0.000000e+000	2.793720e-012
2.419999999999992e+000	2.420000e+000	0.000000e+000	2.806159e-012
2.429999999999992e+000	2.430000e+000	0.000000e+000	2.818604e-012
2.439999999999992e+000	2.440000e+000	0.000000e+000	2.831055e-012
2.449999999999992e+000	2.450000e+000	0.000000e+000	2.843514e-012
2.459999999999992e+000	2.460000e+000	0.000000e+000	2.855979e-012
2.469999999999991e+000	2.470000e+000	0.000000e+000	2.868451e-012
2.479999999999991e+000	2.480000e+000	0.000000e+000	2.880930e-012
2.489999999999991e+000	2.490000e+000	0.000000e+000	2.893415e-012
2.499999999999991e+000	2.500000e+000	0.000000e+000	2.905907e-012
2.509999999999991e+000	2.510000e+000	0.000000e+000	2.918406e-012
2.519999999999990e+000	2.520000e+000	0.000000e+000	2.930911e-012
2.529999999999990e+000	2.530000e+000	0.000000e+000	2.943423e-012
2.539999999999990e+000	2.540000e+000	0.000000e+000	2.955941e-012
2.549999999999990e+000	2.550000e+000	0.000000e+000	2.968466e-012
2.559999999999989e+000	2.560000e+000	0.000000e+000	2.980998e-012
2.569999999999989e+000	2.570000e+000	0.000000e+000	2.993537e-012
2.579999999999989e+000	2.580000e+000	0.000000e+000	3.006081e-012
2.589999999999989e+000	2.590000e+000	0.000000e+000	3.018633e-012
2.599999999999989e+000	2.600000e+000	0.000000e+000	3.031191e-012
2.609999999999988e+000	2.610000e+000	0.000000e+000	3.043756e-012
2.619999999999988e+000	2.620000e+000	0.000000e+000	3.056327e-012
2.629999999999988e+000	2.630000e+000	0.000000e+000	3.068905e-012
2.639999999999988e+000	2.640000e+000	0.000000e+000	3.081489e-012
2.649999999999988e+000	2.650000e+000	0.000000e+000	3.094080e-012
2.659999999999987e+000	2.660000e+000	0.000000e+000	3.106677e-012
2.669999999999987e+000	2.670000e+000	0.000000e+000	3.119281e-012
2.679999999999987e+000	2.680000e+000	0.000000e+000	3.131891e-012
2.689999999999987e+000	2.690000e+000	0.000000e+000	3.144508e-012
2.699999999999986e+000	2.700000e+000	0.000000e+000	3.157132e-012
2.709999999999986e+000	2.710000e+000	0.000000e+000	3.169762e-012
2.719999999999986e+000	2.720000e+000	0.000000e+000	3.182398e-012
2.729999999999986e+000	2.730000e+000	0.000000e+000	3.195041e-012
2.739999999999986e+000	2.740000e+000	0.000000e+000	3.207690e-012
2.749999999999985e+000	2.750000e+000	0.000000e+000	3.220345e-012
2.759999999999985e+000	2.760000e+000	0.000000e+000	3.233007e-012
2.769999999999985e+000	2.770000e+000	0.000000e+000	3.245676e-012
2.779999999999985e+000	2.780000e+000	0.000000e+000	3.258351e-012
2.789999999999985e+000	2.790000e+000	0.000000e+000	3.271032e-012
2.799999999999984e+000	2.800000e+000	0.000000e+000	3.283720e-012
2.809999999999984e+000	2.810000e+000	0.000000e+000	3.296414e-012
2.819999999999984e+000	2.820000e+000	0.000000e+000	3.309115e-012
2.829999999999984e+000	2.830000e+000	0.000000e+000	3.321822e-012
2.839999999999983e+000	2.840000e+000	0.000000e+000	3.334535e-012
2.849999999999983e+000	2.850000e+000	0.000000e+000	3.347255e-012
2.859999999999983e+000	2.860000e+000	0.000000e+000	3.359981e-012
2.869999999999983e+000	2.870000e+000	0.000000e+000	3.372713e-012
2.879999999999983e+000	2.880000e+000	0.000000e+000	3.385452e-012
2.889999999999982e+000	2.890000e+000	0.000000e+000	3.398197e-012
2.899999999999982e+000	2.900000e+000	0.000000e+000	3.410948e-012
2.909999999999982e+000	2.910000e+000	0.000000e+000	3.423706e-012
2.919999999999982e+000	2.920000e+000	0.000000e+000	3.436470e-012
2.929999999999982e+000	2.930000e+000	0.000000e+000	3.449240e-012
2.939999999999981e+000	2.940000e+000	0.000000e+000	3.462017e-012
2.949999999999981e+000	2.950000e+000	0.000000e+000	3.474800e-012
2.959999999999981e+000	2.960000e+000	0.000000e+000	3.487589e-012
2.969999999999981e+000	2.970000e+000	0.000000e+000	3.500385e-012
2.979999999999980e+000	2.980000e+000	0.000000e+000	3.513186e-012
2.989999999999980e+000	2.990000e+000	0.000000e+000	3.525994e-012
3.000000000000000e+000	3.000000e+000	0.000000e+000	3.538809e-012
Step Information: Ib=2µ  (Run: 2/6)
0.000000000000000e+000	0.000000e+000	2.000000e-006	-1.948653e-006
1.000000000000000e-002	1.000000e-002	2.000000e-006	-1.029223e-006
2.000000000000000e-002	2.000000e-002	2.000000e-006	2.972510e-007
3.000000000000000e-002	3.000000e-002	2.000000e-006	2.200708e-006
4.000000000000000e-002	4.000000e-002	2.000000e-006	4.911663e-006
5.000000000000000e-002	5.000000e-002	2.000000e-006	8.732808e-006
6.000000000000001e-002	6.000000e-002	2.000000e-006	1.404294e-005
7.000000000000001e-002	7.000000e-002	2.000000e-006	2.128230e-005
8.000000000000000e-002	8.000000e-002	2.000000e-006	3.090344e-005
9.000000000000000e-002	9.000000e-002	2.000000e-006	4.327198e-005
9.999999999999999e-002	1.000000e-001	2.000000e-006	5.851575e-005
1.100000000000000e-001	1.100000e-001	2.000000e-006	7.635746e-005
1.200000000000000e-001	1.200000e-001	2.000000e-006	9.601527e-005
1.300000000000000e-001	1.300000e-001	2.000000e-006	1.162712e-004
